fiscal_year,posting_date,description,amount,vendor_name,org2_name,cat1_name,cat2_name,fund1_name,fund2_name
2017,2016-08-31,JOURNAL ENTRIES,68.77,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,230.87,Not Applicable,NA,CLERK WAGES,CLERK WAGES,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,96.97,Not Applicable,NA,TREASURER WAGES,TREASURER WAGES,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,14.74,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,23.15,Not Applicable,NA,BUILDING INSPECTOR,BUILDING INSPECTOR,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,10.63,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,15.95,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,71.31,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,36.27,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,125,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,3500,Not Applicable,NA,PROFESSIONAL SERVICES,Professional Services,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,90,Not Applicable,NA,PARK WAGES,PARK WAGES,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,11.24,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,10.37,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,2.54,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,21.49,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,62.38,Not Applicable,NA,CEMETERY  WAGES,CEMETERY  WAGES,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,3.9,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,43.02,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,10.37,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,216.66,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,350,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,279.07,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,40,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,182.09,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,118634.08,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,88.94,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,125,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,136.43,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,244.73,Not Applicable,NA,WATER MASTER SALARY,WATER MASTER SALARY,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,2766.36,Not Applicable,NA,Contracted Services,Contracted Services,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,3574.55,Not Applicable,NA,Contracted Services,Contracted Services,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,136,Not Applicable,NA,WAGES - BILLINGS,WAGES - BILLINGS,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,1956.49,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,215.18,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,49.86,Not Applicable,NA,UTILITIES,Utilities,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,20,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-09-30,CASH DISBURSEMENTS,240,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,-68,Not Applicable,NA,BUILDING INSPECTOR,BUILDING INSPECTOR,General Fund,NA
2017,2016-09-30,CASH RECEIPTS - MANUAL ENTRIES,-118635,Not Applicable,NA,TRANSFER TO GENERAL FUND,TRANSFER TO GENERAL FUND,Special Revenue Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,57.41,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-09-30,JOURNAL ENTRIES,118635,Not Applicable,NA,TRANSFER TO GENERAL FUND,TRANSFER TO GENERAL FUND,Special Revenue Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,230.87,Not Applicable,NA,CLERK WAGES,CLERK WAGES,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,96.97,Not Applicable,NA,TREASURER WAGES,TREASURER WAGES,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,13.54,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,7.21,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,495.72,Not Applicable,NA,PAYROLL TAXES,PAYROLL TAXES,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,34.73,Not Applicable,NA,PAYROLL TAXES,PAYROLL TAXES,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,476,Not Applicable,NA,Insurance,INSURANCE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,3753.76,Not Applicable,NA,BUILDING INSPECTOR,BUILDING INSPECTOR,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,71.45,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,166.81,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,71.31,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,266,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,105,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,268.98,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,90,Not Applicable,NA,PARK WAGES,PARK WAGES,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,110,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,10.37,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,6.97,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,22.44,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,19.48,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,62.38,Not Applicable,NA,CEMETERY  WAGES,CEMETERY  WAGES,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,3.3,Not Applicable,NA,Bank Service Charges,Bank Service Charges,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,10.37,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,176.12,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,34,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,12.79,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,2200,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,32.97,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,88.94,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,136.43,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,288,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,161.32,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,125,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,244.73,Not Applicable,NA,WATER MASTER SALARY,WATER MASTER SALARY,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,136,Not Applicable,NA,WAGES - BILLINGS,WAGES - BILLINGS,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,1956.49,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,198.65,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,49.34,Not Applicable,NA,UTILITIES,Utilities,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,160,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-10-31,CASH DISBURSEMENTS,20,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,-1937.2,Not Applicable,NA,Insurance,INSURANCE,General Fund,NA
2017,2016-10-31,CASH RECEIPTS - MANUAL ENTRIES,-350,Not Applicable,NA,CEMETERY,Cemetery,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,230.82,Not Applicable,NA,CLERK WAGES,CLERK WAGES,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,230.87,Not Applicable,NA,CLERK WAGES,CLERK WAGES,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,96.97,Not Applicable,NA,TREASURER WAGES,TREASURER WAGES,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,42.52,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,14.73,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,7.87,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,9757.35,Not Applicable,NA,Insurance,INSURANCE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,71.45,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,90,Not Applicable,NA,PARK WAGES,PARK WAGES,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,10.37,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,39.93,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,19.48,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,23.49,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,325,Not Applicable,NA,CEMETERY,Cemetery,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,62.38,Not Applicable,NA,CEMETERY  WAGES,CEMETERY  WAGES,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,456.98,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,10.37,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,1292.93,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,104,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,25.33,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,37.03,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,144.12,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,6044.32,Not Applicable,NA,POLICE,POLICE,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,88.85,Not Applicable,NA,HIGHWAY & STREETS,HIGHWAY & STREETS,General Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,506,Not Applicable,NA,WATER SUPPLIES,WATER SUPPLIES,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,136.43,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,125,Not Applicable,NA,WATER ADMINISTRATIVE,WATER ADMINISTRATIVE,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,244.73,Not Applicable,NA,WATER MASTER SALARY,WATER MASTER SALARY,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,136,Not Applicable,NA,WAGES - BILLINGS,WAGES - BILLINGS,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,211.61,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,784.72,Not Applicable,NA,GARBAGE COLLECTION,GARBAGE COLLECTION,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,57.1,Not Applicable,NA,UTILITIES,Utilities,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,1952,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-11-30,CASH DISBURSEMENTS,20,Not Applicable,NA,WATER ANALYSIS,WATER ANALYSIS,Water Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,32.87,Not Applicable,NA,UTILITIES,Utilities,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,495.72,Not Applicable,NA,PAYROLL TAXES,PAYROLL TAXES,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,963.87,Not Applicable,NA,Insurance,INSURANCE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,125,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,54.62,Not Applicable,NA,ADMINISTRATIVE OFFICE,ADMINISTRATIVE OFFICE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,10.37,Not Applicable,NA,Park,PARK,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,6.86,Not Applicable,NA,RODEO,RODEO,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,34.44,Not Applicable,NA,COMMUNITY CENTER,COMMUNITY CENTER,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,487.5,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,199.99,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,71.09,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,279.07,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,10.37,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,29.86,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,177.51,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,203.98,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,641.1,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,2484,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,15,Not Applicable,NA,FIRE,FIRE,General Fund,NA
2017,2016-12-31,CASH DISBURSEMENTS,19.04,Not Applicable,NA,FIRE,FIRE,General Fund,NA
